State FIPS Code,Premature Death Black,Premature Death White,FIPS Code
05,,14102.293636,05133
05,,13030.530024,05135
05,,11312.561884,05137
05,20962.499711,13011.740921,05139
05,,11985.211178,05141
05,11692.000456,8175.0727507,05143
05,14526.470014,12124.123623,05145
05,13569.448735,10860.408178,05147
05,,11524.639016,05149
06,13413.057341,6730.782084,06000
06,14120.057205,4733.730923,06001
06,,,06003
06,,8221.6010788,06005
06,16073.373865,9822.1119176,06007
06,,8433.9458505,06009
06,,8543.2924462,06011
06,13014.945066,5208.3544198,06013
06,,11855.919947,06015
06,13288.320431,6604.5879542,06017
06,18121.65678,8588.5399679,06019
06,,12089.080902,06021
06,10521.330006,9278.5498305,06023
06,12826.442708,12242.13221,06025
06,,8788.9030636,06027
06,19408.194456,12489.237861,06029
06,7741.8893501,8432.3521151,06031
06,26981.73168,12452.255099,06033
06,,13382.62145,06035
06,13610.916445,5962.9316462,06037
06,9701.6528842,9524.1146029,06039
06,7370.0218012,3882.5162896,06041
06,,10063.640247,06043
06,,10345.494693,06045
06,19078.832831,10543.59368,06047
06,,14071.495101,06049
06,,4169.5742205,06051
06,6425.9920867,5697.9966623,06053
06,8375.8261864,5740.2835031,06055
06,,7905.0226134,06057
06,8402.276451,5682.068793,06059
06,7401.8053432,5380.0054887,06061
06,,9891.2574249,06063
06,12255.538273,8599.373299,06065
06,14434.286956,7614.9620279,06067
06,,6213.5631131,06069
06,15830.97976,10349.978489,06071
06,10310.969959,5669.6487487,06073
06,21223.4902,4591.4672984,06075
06,17304.233331,9320.5712588,06077
06,4947.5399097,6527.0425303,06079
06,10236.159944,3831.6831294,06081
06,9246.8581269,5723.6888773,06083
06,8603.2440591,4563.4369632,06085
06,8932.8415031,5243.1187809,06087
06,13824.143558,10440.573684,06089
06,,5133.5067978,06091
06,29761.577404,13411.417312,06093
06,11944.688294,7264.6538242,06095
06,9355.3591956,6165.9487071,06097
06,15384.572874,11044.708124,06099
06,11330.381212,10749.061071,06101
06,,12342.633805,06103
06,,12702.065439,06105
06,17182.588333,10721.034809,06107
06,,9820.919513,06109
06,7802.6170778,5808.6347037,06111
06,10183.122333,6224.8977206,06113
06,9178.6018759,10866.276345,06115
08,12600.374284,6653.8205478,08000
